Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep
J,Touching Virtual Humans: Haptic Responses Reveal the Emotional Impact of Affective Agents,2023,"Ahmed, Imtiaj and Harjunen, Ville and Jacucci, Giulio and Ravaja, Niklas and Ruotsalo, Tuukka and Spapé, Michiel",https://doi.org/10.1109/TAFFC.2020.3038137,Synchronous,Remote: with virtual agent,2,Asymmetric,Person,Telepresence,VR,Communication,Optimizing,Touch,Touch the agent,Social touch,N/A (touch),Virtual hand(s)
WJ,Object manipulation in visuo-haptic augmented reality with physics-based animation,2010,"Aleotti, Jacopo and Denaro, Francesco and Caselli, Stefano",https://doi.org/10.1109/ROMAN.2010.5598707,Synchronous,Co-located,2,Asymmetric,Object,Shared workspace,AR,Performance,Optimizing,Object manipulation: pointing,The objective of the task is again to move a rigid object (yellow box) towards a goal configuration.,Manipulating object,3 (translational),Pointer
J,Effects of network delay on a collaborative motor task with telehaptic and televisual feedback,2004,"Allison, Robert S. and Zacher, James E. and Wang, David and Shu, Joseph",https://doi.org/10.1145/1044588.1044670,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3 (translational),No visual representation
F,Intermodal audio–haptic intermodal display: improvement of communication and interpersonal awareness for collaborative search tasks,2015,"Ammi, Mehdi and Katz, Brian",https://doi.org/10.1007/s10055-015-0273-5,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Co-annotation,No visual input,Performance,Optimizing,Pointing,-,Pointing,2,No visual representation
J,I’m in control! Transferring object ownership between remote users with haptic props in virtual reality,2021,"Auda, Jonas and Busse, Leon and Pfeuffer, Ken and Gruenefeld, Uwe and Rivu, Radiah and Alt, Florian and Schneegass, Stefan",https://doi.org/10.1145/3485279.3485287,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,VR,Conflict-resolution,Optimizing,Object manipulation,-,Manipulating object,N/A (touch),Virtual hand(s)
F,Virtual interpersonal touch: Haptic interaction and copresence in collaborative virtual environments,2007,"Bailenson, Jeremy and Yee, Nick",https://doi.org/10.1007/s11042-007-0171-2 ,Synchronous,Remote: with virtual agent,2,Asymmetric,Person,Shared experience,VR,Performance,Optimizing,Pointing,virtual agent,Social touch,3,Pointer
J,An experimental study on the role of touch in shared virtual environments,2000,"Basdogan, Cagatay and Ho, Chih-Hao and Srinivasan, Mandayam A. and Slater, Mel",https://doi.org/10.1145/365058.365082,Synchronous,Remote: different rooms,2,Asymmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,No visual representation
WJ,Supporting parent-child collaborative learning through haptic feedback displays,2019,"Beheshti, Elham and Borgos-Rodriguez, Katya and Piper, Anne Marie",https://doi.org/10.1145/3311927.3323137,Synchronous,Co-located,2,Symmetric,Workspace,Shared experience,Screen (2DVE),Performance,Maximizing,Touch,Learn about electrical circuits in four tasks. (correct answers),Problem-solving,N/A (touch),No visual representation
WJ,Impact of Multimodal Instructions for Tool Manipulation Skills on Performance and User Experience in an Immersive Environment,2024,C. Simon and M. Boukli-Hacene and F. Lebrun and S. Otmane and A. Chellali,https://doi.org/10.1109/VR58804.2024.00087,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,VR,Performance,Optimizing,Object manipulation,"A trainer guides a trainee to move and manipulate a sphere (pick and place task), (trainer, trainee)",Steering,2 (translational),Virtual hand(s)
J,Incomplete information about the partner affects the development of collaborative strategies in joint action,2019,"Chackochan, Vinil and Sanguineti, Vittorio",https://doi.org/10.1371/journal.pcbi.1006385,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Pointing,Pointer/No visual representation (condition),Pointing,2 (translational),Pointer
J,Designing haptic icons to support collaborative turn-taking,2008,"Chan, Andrew and MacLean, Karon and McGrenere, Joanna",https://doi.org/10.1016/j.ijhcs.2007.11.002,Synchronous,Co-located: separated by obstacles,4,Symmetric,Object,Shared workspace,Screen (2DVE),Conflict-resolution,Optimizing,Pointing,-,Pointing,2,Pointer
J,Influences of haptic communication on a shared manual task,2011,"Chellali, Amine and Dumas, Cédric and Milleville-Pennel, Isabelle",https://www.sciencedirect.com/science/article/abs/pii/S0953543811000439,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation,,Manipulating object,3,Virtual hand(s)
J,Performance related energy exchange in haptic human-human interaction in a shared virtual object manipulation task,2009,D. Feth and R. Groten and A. Peer and S. Hirche and M. Buss,https://doi.org/10.1109/WHC.2009.4810854,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,Screen (2DVE),Performance,Optimizing,Object manipulation,-,Steering,1,Pointer
F,On Multi-Agent Cognitive Cooperation: Can virtual agents behave like humans?,2022,"D’Avella, Salvatore and Camacho-Gonzalez, Gerardo and Tripicchio, Paolo",https://doi.org/10.1016/j.neucom.2022.01.025,Synchronous,Co-located: separated by obstacles,2,Symmetric,Workspace,Telepresence,Screen (3DVE),Decision-making,Optimizing,Navigating,-,Navigating,2 (translational),No visual representation
F,Assessment of an articulatory interface for tactile intercommunication in immersive virtual environments,2018,"de Jesus Oliveira, Victor Adriel and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1016/j.cag.2018.07.007,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,VR,Decision-making,Optimizing,Communication,-,Cummunicating,NA,Avatar
WJ,Proactive haptic articulation for intercommunication in collaborative virtual environments,2016,"de Jesus Oliveira, Victor and Nedel, Luciana and Maciel, Anderson",https://doi.org/10.1109/3DUI.2016.7460036,Synchronous,Co-located,2,Symmetric,Object,Telepresence,VR,Performance,Optimizing,Object manipulation,Communicate which puzzle to choose by verbal and haptic,Notification,N/A (notification),Avatar
F,Usage of tactile feedback to assist cooperative object manipulations in virtual environments,2017,"de Oliveira, Thomas and Pinho, Márcio",https://doi.org/10.1109/SMC.2017.8122976,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,VR,Performance ,Optimizing,Object manipulation,-,Manipulating object,1,Pointer
J,Mentor-Guided Learning in Immersive Virtual Environments: The Impact of Visual and Haptic Feedback on Skill Acquisition,2025,F. Lebrun and C. Simon and A. Boukezzi and S. Otmane and A. Chellali,https://doi.org/10.1109/TVCG.2025.3549547,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,VR and screen (3DVE),Performance,Optimizing,Pointing/Object manipulation,"Our experimental task consists of following a reference path from start to finish using a drawing instrument while adjusting the visualization tool to display the optimal view of obstacles along the trajectory, ensuring they are avoided.",Steering,2,Virtual hand(s)
F,Haptic Designation Tool to Improve Working Strategy in Collaborative Virtual Environment,2015,"Girard, Adrien and Ammi, Mehdi",https://doi.org/10.1109/SMC.2015.235,Synchronous,Co-located,3,Symmetric,Person ,Telepresence,Screen (3DVE),Decision-making,Optimizing,Object manipulation,-,Manipulating object,3,Pointer
J,Improvement of collaborative selection in 3D complex environments,2012,"Girard, Adrien and Ammi, Mehdi and Simard, Jean and Auvray, Malika",https://doi.org/10.1109/HAPTIC.2012.6183803,Synchronous,Co-located,3,Asymmetric OR Symmetric,Object,Shared workspace,Screen (3DVE),Creativity,Optimizing,"Pointing/Object manipulation, (next to each other, same screen/not allowed to speak or gesture)",-,Manipulating object,3,Pointer
WJ,Collaborative metaphor for haptic designation in complex 3D environments,2014,"Girard, Adrien and Auvray, Malika and Ammi, Mehdi",https://doi.org/10.1145/2628257.2628262,Synchronous,Co-located,2,Asymmetric,Workspace,Remote expert,Screen (3DVE),Performance,Maximizing,Object manipulation: pointing,Deform molecules,Manipulating object,3 (translational),Pointer
F,Efficiency analysis in a collaborative task with reciprocal haptic feedback,2009,"Groten, Raphaela and Feth, Daniela and Peer, Angelika and Buss, Martin and Klatzky, Roberta",https://doi.org/10.1109/iros.2009.5354612,Synchronous,Co-located,2,Symmetric,Workspace,Telepresence,Screen (2DVE),Performance,Optimizing,Navigating,-,Steering,2,Pointer
F,"Exploring audio, visual, and tactile cues for synchronous remote assistance",2018,"Günther, Sebastian and Kratz, Sven and Avrahami, Daniel and Mühlhäuser, Max",https://doi.org/10.1145/3197768.3201568,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,AR,Decision-making,Optimizing,Object manipulation,-,Cummunicating,NA,Real body
F,User's behaviours in a collaborative task - real vs. virtual environments,2016,H. H. Le and M. J. Loomes and R. C. V. Loureiro,https://doi.org/10.1109/BIOROB.2016.7523745,Synchronous,Co-located,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,Pointer
F,Haptic Cooperative Virtual Workspace: Architecture and evaluation,2000,"Halabi, Osama and Horiguchi, S.",https://doi.org/10.1007/bf01409421,Synchronous,Co-located,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Social touch,3,Pointer
WJ,Network latency issue in cooperative shared haptic virtual environment,2003,"Halabi, Osama and Horiguchi, Susumu",https://doi.org/10.1117/12.497790,Synchronous,Remote: different rooms,2,Symmetric,Person,Shared experience,Screen (3DVE),Performance,Optimizing,Social touch,"Handshake task, Simple hand and arm geometric representation",Social touch,3 (translational),Pointer
WJ,Collaborative haptic environment assessment,2009,"Hamza-Lup, Felix and Lambeth, Benjamin and LaPlant, James",https://doi.org/10.1109/WHC.2009.4810903,Synchronous,Co-located,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,The goal of the task is to stack all four cubes onto a central stacking pedestal by lifting the cubes with haptic devices and maneuvering them into place.,Manipulating object,3 (translational),Pointer
WJ,The evaluation of delay jitter for haptics collaboration over the Internet,2002,"Hikichi, Kenji and Morino, Hironao and Arimoto, I. and Sezaki, Kaoru and Yasuda, Y.",https://doi.org/10.1109/GLOCOM.2002.1188447,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Collaborators operate a virtual object (rigid body cube with no transformation) along an S-shaped track. Operating a virtual (rigid) object along an S-shaped track,Steering,2 (translational),Pointer
WJ,Collaborative haptic play with building blocks,2009,"Huang, Pingguo and Ishibashi, Yutaka and Fukushima, Norishige and Sugawara, Shinji",https://doi.org/10.1145/1690388.1690435,Synchronous,N/A,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,lift and move the blocks collaboratively  (work 1),Manipulating object,3 (translational),Pointer
WJ,Effects of Haptic Data compression on user performance in Collaborative Haptic Virtual Environment,2014,"Huynh, Loi and Zadeh, Mehrdad",https://doi.org/10.1109/HAVE.2014.6954340,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: pointing,Move the object (Fitts's Law),Pointing,2 (translational),Pointer
WJ,Simultaneous remote haptic collaboration for assembling tasks,2007,"Iglesias, Rosa and Casado, Sara and Gutiérrez, Teresa and García‐Alonso, A. and Yu, Wai and Marshall, Alan",https://doi.org/10.1007/s00530-007-0108-7,Synchronous,Remote: different countries,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,Assemble parts in a shared VE,Manipulating object,3 (translational),Pointer
WJ,HoloBots: Augmenting holographic telepresence with mobile robots for tangible remote collaboration in mixed reality,2023,"Ihara, Keiichi and Faridan, Mehrad and Ichikawa, Ayumi and Kawaguchi, Ikkaku and Suzuki, Ryo",https://doi.org/10.1145/3586183.3606727,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Shared workspace,AR,Performance,Optimizing,Social touch,The remote experimenter interacts with the participant,Notification,N/A (notification),Real body
WJ,Validation of a Human Cooperative Steering Behavior Model Based on Differential Games,2019,"Inga, Jairo and Flad, Michael and Hohmann, Sören",https://doi.org/10.1109/smc.2019.8914574,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Cooperatively steer a virtual pointer along the track,Steering,2 (translational),Pointer
WJ,Inter-stream synchronization between haptic media and voice in collaborative virtual environments,2004,"Ishibashi, Yutaka and Kanbara, T. and Tasaka, Shuji",https://doi.org/10.1145/1027527.1027670,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation ,Move a rigid virtual cube in a VE,Manipulating object,3 (translational),Pointer
WJ,Haptic Assistance Improves Tele-Manipulation With Two Asymmetric Slaves,2019,J. van Oosterhout and C. J. M. Heemskerk and H. Boessenkool and M. R. de Baar and F. C. T. v. d. Helm and D. A. Abbink,https://doi.org/10.1109/TOH.2018.2873350,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Tele-manipulating an object in a complex environment (construction site with heavy material) (Each person controls a different function). no audio,Steering,2 (translational),Pointer
WJ,Tele-Manipulation with Two Asymmetric Slaves: Two Operators Perform Better Than One,2018,J. van Oosterhout and C. J. M. Heemskerk and M. R. de Baar and F. C. T. van der Helm and D. A. Abbink,https://doi.org/10.1109/TOH.2017.2759108,Synchronous,Co-located,2,Asymmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,"The task consists of maneuvering the blue center axis of the load through the bounded path (left). At the bottom of the path, subjects encounter the mounting task (top right) where participants should place one of the lower axes in the hinge point while the load is tilted until it is upright and locked with a bolt. Robot end-effector",Steering,2 (translational),Pointer
WJ,Modeling the effects of delayed haptic and visual feedback in a collaborative virtual environment,2007,"Jay, Caroline and Glencross, Mashhuda and Hubbold, Roger",https://doi.org/10.1145/1275511.1275514,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: pointing,Reaching target together in the same depth.  no verbal communication,Pointing,3 (translational),Pointer
WJ,Assessment of Environmental Effects on Collaborative Haptic Guidance,2011,"Khademian, Behzad and Apkarian, Jacob and Hashtrudi-Zaad, Keyvan",https://doi.org/10.1162/PRES_a_00044,Synchronous,Co-located,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation,"Following 3D moving target, trainer, trainee)",Steering,2 (translational),Pointer
WJ,Performance Issues in Collaborative Haptic Training,2007,"Khademian, Behzad and Hashtrudi-Zaad, Keyvan",https://doi.org/10.1109/ROBOT.2007.363975,Synchronous,Co-located,2,Asymmetric,Workspace,Remote expert,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,"Tracing a path, leading the slave robot to follow a 100 × 100mm square path.",Steering,2 (translational),Pointer
WJ,Transatlantic Touch: A Study of Haptic Collaboration over Long Distance,2004,"Kim, Jung and Kim, Hyun and Tay, Boon and Manivannan, M. and Srinivasan, Mandayam and Jordan, Joel and Mortensen, Jesper and Oliveira, Manuel and Slater, Mel",https://doi.org/10.1162/1054746041422370,Synchronous,Remote: different countries,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,Lifting a virtual box together under one of four conditions in a between-groups design.,Manipulating object,3 (translational),Pointer
WJ,Collaborative Haptic Exploration of Dynamic Remote Environments,2018,"Kim, Seokyeol and Park, Jinah",https://doi.org/10.1109/MCG.2018.053491733,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,The system tracks the remote expert's gesture to guide the other person's movements with a haptic device. The goal is to extract movement information from the expert to. Optimizing (path guidance) Maximizing (wiping / wund cleaning),Manipulating object,3 (translational),Pointer
WJ,QoE Assessment of Single-User Operation and Dual-User Operation in Remote Robot Systems with Force Feedback,2023,L. N. Gassama and Y. Ishibashi and P. Huang,https://doi.org/10.1109/ICCC59590.2023.10507618,Synchronous,Co-located,2,Symmetric,Object,Telepresence,Screen (RE),Performance,Optimizing,Object manipulation: pointing,carrying a wooden stick as the object between the two robots,Manipulating object,3 (translational),No visual representation
